rec_date	rec_place	rec_cntry	Y	X	rec_name	id_name	sex	genus	subgenus	species	N	id
06/2024	Mas-de-Londre (34)	France	"43d46'42.23""N"	"3d46'32.06""E"	Moiroux N.	Moiroux N.	Female	Culiseta	Cal	longiareolata	1	1
06/2024	Mas-de-Londre (34)	France	"43d46'42.23""N"	"3d46'32.06""E"	Moiroux N.	Moiroux N.	Female	Culiseta	Cal	longiareolata	1	2
06/2024	Mas-de-Londre (34)	France	"43d46'42.23""N"	"3d46'32.06""E"	Moiroux N.	Moiroux N.	Male	Culiseta	Cal	longiareolata	1	3
06/2024	Mas-de-Londre (34)	France	"43d46'42.23""N"	"3d46'32.06""E"	Moiroux N.	Moiroux N.	Female	Culiseta	Cal	longiareolata	1	4
06/2024	Mas-de-Londre (34)	France	"43d46'42.23""N"	"3d46'32.06""E"	Moiroux N.	Moiroux N.	Female	Culiseta	Cal	longiareolata	2	5
06/2024	Mas-de-Londre (34)	France	"43d46'42.23""N"	"3d46'32.06""E"	Moiroux N.	Moiroux N.	Male	Culex		pipiens	2	6
06/2024	Mas-de-Londre (34)	France	"43d46'42.23""N"	"3d46'32.06""E"	Moiroux N.	Moiroux N.	Female	Culiseta	Cal	longiareolata	2	7
06/2024	Mas-de-Londre (34)	France	"43d46'42.23""N"	"3d46'32.06""E"	Moiroux N.	Moiroux N.	Female	Culiseta	Cal	longiareolata	1	8
06/2024	Mas-de-Londre (34)	France	"43d46'42.23""N"	"3d46'32.06""E"	Moiroux N.	Moiroux N.	Female	Culiseta	Cal	longiareolata	1	9
06/2024	Mas-de-Londre (34)	France	"43d46'42.23""N"	"3d46'32.06""E"	Moiroux N.	Moiroux N.	Female	Culiseta	Cal	longiareolata	1	10
06/2024	Mas-de-Londre (34)	France	"43d46'42.23""N"	"3d46'32.06""E"	Moiroux N.	Moiroux N.	Female	Culiseta	Cal	longiareolata	1	11
06/2024	Mas-de-Londre (34)	France	"43d46'42.23""N"	"3d46'32.06""E"	Moiroux N.	Moiroux N.	Female	Culiseta	Cal	longiareolata	1	12
06/2024	Mas-de-Londre (34)	France	"43d46'42.23""N"	"3d46'32.06""E"	Moiroux N.	Moiroux N.	Female	Culiseta	Cal	longiareolata	1	13
06/2024	Mas-de-Londre (34)	France	"43d46'42.23""N"	"3d46'32.06""E"	Moiroux N.	Moiroux N.	Female	Culiseta	Cal	longiareolata	1	14
06/2024	Mas-de-Londre (34)	France	"43d46'42.23""N"	"3d46'32.06""E"	Moiroux N.	Moiroux N.	Female	Culiseta	Cal	longiareolata	1	15
06/2024	Mas-de-Londre (34)	France	"43d46'42.23""N"	"3d46'32.06""E"	Moiroux N.	Moiroux N.	Female	Culiseta	Cal	longiareolata	1	16
06/2024	Mas-de-Londre (34)	France	"43d46'42.23""N"	"3d46'32.06""E"	Moiroux N.	Moiroux N.	Female	Culiseta	Cal	longiareolata	1	17
06/2024	Mas-de-Londre (34)	France	"43d46'42.23""N"	"3d46'32.06""E"	Moiroux N.	Moiroux N.	Female	Culiseta	Cal	longiareolata	1	18
06/2024	Mas-de-Londre (34)	France	"43d46'42.23""N"	"3d46'32.06""E"	Moiroux N.	Moiroux N.	Female	Culiseta	Cal	longiareolata	1	19
06/2024	Mas-de-Londre (34)	France	"43d46'42.23""N"	"3d46'32.06""E"	Moiroux N.	Moiroux N.	Female	Culiseta	Cal	longiareolata	1	20
06/2024	Mas-de-Londre (34)	France	"43d46'42.23""N"	"3d46'32.06""E"	Moiroux N.	Moiroux N.	Female	Culiseta	Cal	longiareolata	1	21
06/2024	Mas-de-Londre (34)	France	"43d46'42.23""N"	"3d46'32.06""E"	Moiroux N.	Moiroux N.	Female	Culiseta	Cal	longiareolata	1	22
06/2024	Mas-de-Londre (34)	France	"43d46'42.23""N"	"3d46'32.06""E"	Moiroux N.	Moiroux N.	Female	Culiseta	Cal	longiareolata	1	23
06/2024	Mas-de-Londre (34)	France	"43d46'42.23""N"	"3d46'32.06""E"	Moiroux N.	Moiroux N.	Female	Culiseta	Cal	longiareolata	1	24
